PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
50293,GEN1,2.766710021444198e-16,68,Other Waste Biomass,0.0,29.1,0,0,13.9,-9.5,39.1062,-122.1096
50300,BESS1,-4.664710843105446e-16,525,Batteries,18.2432044,20.0,0,0,0.0,0.0,34.059444,-117.774167
50363,L313,3.4277827348894e-16,8472,Wood/Wood Waste Biomass,0.0,21.0,0,0,0.0,0.0,32.903826,-115.511949
50375,GEN1,9.21606183722278e-16,1457,Conventional Hydroelectric,0.400002708,1.2,0,0,18.7771429,-14.6707143,34.2619,-118.6242
50386,WING,19.09005492567221,1932,Onshore Wind Turbine,6.64855589,15.3,0,0,23.8842105,-22.5631579,35.0522,-118.3581
50388,GEN1,5.7648538505405755e-16,76,Petroleum Coke,0.0,27.3,0,0,16.9,-9.1,38.018056,-122.2344
50393,FR1,-5.810461643548111e-17,125,Conventional Hydroelectric,6.13337829,18.4,0,0,5.06666667,-3.4,36.997694,-119.703451
50393,M1,9.022135094355777e-17,125,Conventional Hydroelectric,3.26669045,9.8,0,0,5.06666667,-3.4,36.997694,-119.703451
50393,RO1,6.540409430535096e-16,125,Conventional Hydroelectric,0.800005626,2.4,0,0,5.06666667,-3.4,36.997694,-119.703451
50393,RO2,2.2661447254431597e-16,125,Conventional Hydroelectric,2.30001663,6.9,0,0,5.06666667,-3.4,36.997694,-119.703451
50400,GEN1,-9.159716966716565e-17,1889,Conventional Hydroelectric,5.40003955,16.2,0,0,18.7771429,-14.6707143,38.1861,-120.15
50464,GEN1,5.903812412712155e-17,1893,Natural Gas Fired Combustion Turbine,2.19389114,19.2,0,0,24.5645161,-14.3219355,34.196,-119.1667
50464,GEN2,-7.839442658139633e-16,1893,Natural Gas Fired Combustion Turbine,49.500362,49.5,0,0,30.7,-16.5,34.196,-119.1667
50485,GEN1,10.559247166462052,1858,Onshore Wind Turbine,9.42965116,21.7,0,0,8.6,-8.6,33.915023,-116.555064
50485,GEN2,10.559247166462052,1858,Onshore Wind Turbine,1.47745686,3.4,0,0,23.8842105,-22.5631579,33.915023,-116.555064
50492,1,-4.439965441891788e-16,1522,Other Waste Biomass,0.0,2.3,0,0,13.9,-9.5,32.679172,-117.246698
50492,2,-4.439965441891788e-16,1522,Other Waste Biomass,0.0,2.3,0,0,13.9,-9.5,32.679172,-117.246698
50492,3,8.415261621117983e-16,1522,Conventional Hydroelectric,0.500003463,1.5,0,0,18.7771429,-14.6707143,32.679172,-117.246698
50493,DC1,1.523451742113964e-17,239,Natural Gas Fired Combustion Turbine,10.6685586,24.9,0,0,15.4,-8.3,35.5005,-119.046
50493,DC2,1.523451742113964e-17,239,Natural Gas Fired Combustion Turbine,10.6685586,24.9,0,0,15.4,-8.3,35.5005,-119.046
50494,KF1,1.1517166300603098e-17,1666,Natural Gas Fired Combustion Turbine,10.624254,24.9,0,0,15.4,-8.3,35.51647,-119.040128
50494,KF2,1.1517166300603098e-17,1666,Natural Gas Fired Combustion Turbine,10.624254,24.9,0,0,15.4,-8.3,35.51647,-119.040128
50495,HS1,-3.023646867209914e-18,248,Natural Gas Fired Combustion Turbine,11.5964714,24.9,0,0,15.4,-8.3,35.509041,-119.030546
50495,HS2,-3.023646867209914e-18,248,Natural Gas Fired Combustion Turbine,11.5964714,24.9,0,0,15.4,-8.3,35.509041,-119.030546
50530,GEN1,-5.400953211413913e-16,1702,Other Gases,30.0002212,30.0,0,0,18.6,-10.0,33.791667,-118.234722
50530,GEN2,-5.400953211413913e-16,1702,Other Gases,30.0002212,30.0,0,0,18.6,-10.0,33.791667,-118.234722
50530,GEN3,5.641205054131908e-16,1702,Other Gases,0.0,23.0,0,0,17.3,-7.7,33.791667,-118.234722
50532,15SLE,19.094254243544253,2203,Onshore Wind Turbine,0.651819204,1.5,0,0,4.15,-4.15,35.0686,-118.3833
50532,WGNS,19.094254243544253,2203,Onshore Wind Turbine,7.51764816,17.3,0,0,4.15,-4.15,35.0686,-118.3833
50535,WGNS,10.982937814956406,1848,Onshore Wind Turbine,12.9929295,29.9,0,0,11.8,-11.8,33.9461,-116.6769
50536,WGNS,18.37885630800069,2399,Onshore Wind Turbine,33.4165979,76.9,0,0,30.4,-30.4,35.2608,-118.2469
50537,GEN1,-2.5800667239781326e-16,1807,Natural Gas Fired Combustion Turbine,6.00004416,6.0,0,0,24.5645161,-14.3219355,37.455314,-122.172797
